,timestamp,close_C25,close_C26,close_H0,close_H25,close_H26,high_C25,high_C26,high_H0,high_H25,high_H26,low_C25,low_C26,low_H0,low_H25,low_H26,mean_C25,mean_C26,mean_H0,mean_H25,mean_H26,open_C25,open_C26,open_H0,open_H25,open_H26,open_interest_C25,open_interest_C26,open_interest_H0,open_interest_H25,open_interest_H26,volume_C25,volume_C26,volume_H0,volume_H25,volume_H26,wd,hour,off_hours,market_close,market_open,weekend_close_period,exp_rate_open_interest,exp_rate,relevant_date
4895,2026-02-20 07:00:00-05:00,0.06,0.0,0.94,0.0,0.0,0.06,0.0,0.94,0.0,0.0,0.06,0.0,0.94,0.0,0.0,0.06,0.0,0.94,0.0,0.0,0.06,0.0,0.94,0.0,0.0,2651208.0,1277839.0,2599106.0,0.0,0.0,832.0,0.0,1.0,0.0,0.0,4,7,True,False,False,False,-0.1262404496188228,-0.24969987995198079,2026-02-20
4896,2026-02-20 08:00:00-05:00,0.06,0.02,0.93,0.01,0.0,0.06,0.02,0.93,0.01,0.0,0.05,0.02,0.93,0.01,0.0,0.0599,0.02,0.93,0.01,0.0,0.06,0.02,0.93,0.01,0.0,2680761.0,1277964.0,2599173.0,705571.0,0.0,29857.0,125.0,67.0,100.0,0.0,4,8,True,False,False,False,-0.08249888689425537,-0.24777677857713828,2026-02-20
4905,2026-02-20 17:00:00-05:00,0.06,0.02,0.94,0.01,0.0,0.06,0.02,0.95,0.01,0.0,0.05,0.01,0.94,0.01,0.0,0.0584,0.0119,0.9476,0.01,0.0,0.05,0.02,0.95,0.01,0.0,2626667.0,1280148.0,2812474.0,705571.0,0.0,987.0,7676.0,17.0,140.0,0.0,4,17,True,True,False,True,-0.07816053868757397,-0.18509615384615385,2026-02-23
4906,2026-02-20 18:00:00-05:00,0.06,0.01,0.95,0.0,0.0,0.06,0.02,0.95,0.0,0.0,0.05,0.01,0.94,0.0,0.0,0.0598,0.0179,0.9402,0.0,0.0,0.06,0.02,0.95,0.0,0.0,2630379.0,1280160.0,2842801.0,705571.0,79938.0,4013.0,58.0,47938.0,0.0,0.0,4,18,True,False,False,True,-0.07788014114826766,-0.01931146657427191,2026-02-23
4907,2026-02-20 19:00:00-05:00,0.06,0.02,0.95,0.01,0.01,0.06,0.02,0.95,0.01,0.01,0.05,0.02,0.95,0.01,0.01,0.0569,0.02,0.95,0.01,0.01,0.06,0.02,0.95,0.01,0.01,2631845.0,1280160.0,2842856.0,705571.0,80031.0,1622.0,50.0,55.0,93.0,93.0,4,19,True,False,False,True,-0.07792027600079737,-0.21596045197740113,2026-02-23
4908,2026-02-20 20:00:00-05:00,0.06,0.02,0.95,0.01,0.0,0.06,0.02,0.95,0.01,0.0,0.05,0.02,0.94,0.01,0.0,0.0596,0.02,0.9429,0.01,0.0,0.06,0.02,0.94,0.01,0.0,2633660.0,1280160.0,2843686.0,705571.0,0.0,1815.0,5017.0,920.0,93.0,0.0,4,20,True,False,False,True,-0.07796033005133338,-0.15222772277227722,2026-02-23
4909,2026-02-20 21:00:00-05:00,0.06,0.02,0.94,0.01,0.01,0.06,0.02,0.95,0.01,0.01,0.05,0.02,0.94,0.01,0.01,0.06,0.02,0.94,0.01,0.01,0.06,0.02,0.95,0.01,0.01,2638882.0,1280160.0,2843058.0,705571.0,80914.0,5222.0,25.0,1893.0,8.0,883.0,4,21,True,False,False,True,-0.0781134368892435,-0.18299873648743506,2026-02-23
4910,2026-02-20 22:00:00-05:00,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.95,0.01,0.0,0.05,0.0,0.93,0.01,0.0,0.0584,0.0,0.9301,0.01,0.0,0.06,0.0,0.94,0.01,0.0,2640991.0,0.0,2858217.0,705571.0,0.0,2509.0,0.0,15209.0,1.0,0.0,4,22,True,False,False,True,-0.07798102075835417,-0.03538574411648513,2026-02-23
4911,2026-02-20 23:00:00-05:00,0.06,0.02,0.94,0.01,0.01,0.06,0.02,0.94,0.01,0.01,0.05,0.02,0.94,0.01,0.01,0.0599,0.02,0.94,0.01,0.01,0.06,0.02,0.94,0.01,0.01,2649525.0,1280160.0,2858807.0,705571.0,81114.0,8634.0,239.0,590.0,241.0,200.0,4,23,True,False,False,True,-0.07820986262579252,-0.2216851558372953,2026-02-23
4912,2026-02-21 00:00:00-05:00,0.06,0.02,0.93,0.01,0.01,0.06,0.02,0.94,0.01,0.01,0.06,0.02,0.93,0.01,0.01,0.06,0.02,0.9395,0.01,0.01,0.06,0.02,0.94,0.01,0.01,2653495.0,1280160.0,2859129.0,705571.0,81207.0,3970.0,233.0,322.0,93.0,93.0,5,0,True,False,False,True,-0.07831549187505378,-0.2210376282782212,2026-02-23
4913,2026-02-21 01:00:00-05:00,0.06,0.02,0.94,0.0,0.0,0.06,0.02,0.94,0.0,0.0,0.05,0.01,0.93,0.0,0.0,0.0588,0.0197,0.9302,0.0,0.0,0.06,0.01,0.93,0.0,0.0,2653945.0,1280160.0,2859242.0,0.0,0.0,511.0,2727.0,113.0,0.0,0.0,5,1,True,False,False,True,-0.12034531932256243,-0.2047275641025641,2026-02-23
4914,2026-02-21 02:00:00-05:00,0.05,0.01,0.94,0.01,0.01,0.06,0.02,0.94,0.01,0.01,0.05,0.01,0.93,0.01,0.01,0.0564,0.0103,0.9315,0.01,0.01,0.06,0.02,0.94,0.01,0.01,2655545.0,1280160.0,2859374.0,705571.0,81240.0,5153.0,726.0,149.0,33.0,33.0,5,2,True,False,False,True,-0.07836898700906199,-0.23992502343017807,2026-02-23
4915,2026-02-21 03:00:00-05:00,0.06,0.0,0.93,0.01,0.0,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.93,0.01,0.0,0.06,0.0,0.9344,0.01,0.0,0.06,0.0,0.93,0.01,0.0,2661874.0,1280160.0,2880252.0,705571.0,0.0,6329.0,0.0,79516.0,1028.0,0.0,5,3,True,False,False,True,-0.07828096496997214,-0.015255027453869441,2026-02-23
4916,2026-02-21 04:00:00-05:00,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.94,0.01,0.0,2663967.0,1280160.0,2880252.0,705571.0,0.0,2093.0,0.0,150.0,13.0,0.0,5,4,True,False,False,True,-0.078338472172665,-0.23049645390070922,2026-02-23
4917,2026-02-21 05:00:00-05:00,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.93,0.0,0.0,2664107.0,1280160.0,2880292.0,0.0,0.0,140.0,0.0,40.0,0.0,0.0,5,5,True,False,False,True,-0.1201260497305479,-0.19444444444444445,2026-02-23
4918,2026-02-21 06:00:00-05:00,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.95,0.0,0.0,0.05,0.0,0.93,0.0,0.0,0.0586,0.0,0.9396,0.0,0.0,0.06,0.0,0.94,0.0,0.0,2664403.0,1280160.0,2880440.0,0.0,0.0,412.0,0.0,1360.0,0.0,0.0,5,6,True,False,False,True,-0.12012977644272345,-0.05812641083521445,2026-02-23
4919,2026-02-21 07:00:00-05:00,0.05,0.0,0.95,0.01,0.0,0.06,0.0,0.95,0.01,0.0,0.05,0.0,0.95,0.01,0.0,0.0594,0.0,0.95,0.01,0.0,0.06,0.0,0.95,0.01,0.0,2664768.0,1280160.0,2880440.0,705571.0,0.0,415.0,0.0,25.0,2337.0,0.0,5,7,True,False,False,True,-0.07835811344474025,0.17302844796543032,2026-02-23
4920,2026-02-21 08:00:00-05:00,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.95,0.0,0.0,0.06,0.0,0.93,0.0,0.0,0.06,0.0,0.9463,0.0,0.0,0.06,0.0,0.93,0.0,0.0,2664856.0,1280160.0,2880517.0,0.0,0.0,88.0,0.0,446.0,0.0,0.0,5,8,True,False,False,True,-0.1201387174496648,-0.04119850187265917,2026-02-23
4921,2026-02-21 09:00:00-05:00,0.06,0.0,0.93,0.01,0.0,0.06,0.0,0.94,0.01,0.0,0.06,0.0,0.93,0.01,0.0,0.06,0.0,0.9371,0.01,0.0,0.06,0.0,0.94,0.01,0.0,2664871.0,1280160.0,2880531.0,705571.0,0.0,15.0,0.0,14.0,166.0,0.0,5,9,True,False,False,True,-0.0783598009461887,0.1935897435897436,2026-02-23
4922,2026-02-21 10:00:00-05:00,0.04,0.02,0.95,0.0,0.0,0.06,0.02,0.95,0.0,0.0,0.04,0.01,0.93,0.0,0.0,0.0543,0.0121,0.9413,0.0,0.0,0.06,0.01,0.95,0.0,0.0,2664995.0,1284697.0,2880713.0,0.0,0.0,819.0,5738.0,206.0,0.0,0.0,5,10,True,False,False,True,-0.12013772632818027,-0.19975609756097562,2026-02-23
4923,2026-02-21 11:00:00-05:00,0.05,0.0,0.94,0.01,0.0,0.06,0.0,0.95,0.01,0.0,0.04,0.0,0.94,0.01,0.0,0.0465,0.0,0.9409,0.01,0.0,0.06,0.0,0.95,0.01,0.0,2666474.0,1284697.0,2880715.0,705571.0,0.0,5923.0,0.0,310.0,77.0,0.0,5,11,True,False,False,True,-0.07840149789852802,-0.2316164817749604,2026-02-23
4924,2026-02-21 12:00:00-05:00,0.05,0.0,0.95,0.0,0.0,0.05,0.0,0.95,0.0,0.0,0.05,0.0,0.94,0.0,0.0,0.05,0.0,0.9478,0.0,0.0,0.05,0.0,0.95,0.0,0.0,2667560.0,1284697.0,2880988.0,0.0,0.0,1086.0,0.0,493.0,0.0,0.0,5,12,True,False,False,True,-0.1201918051353255,-0.17194426852438252,2026-02-23
4925,2026-02-21 13:00:00-05:00,0.05,0.01,0.95,0.01,0.0,0.05,0.02,0.95,0.01,0.0,0.05,0.01,0.94,0.01,0.0,0.05,0.0193,0.9404,0.01,0.0,0.05,0.02,0.94,0.01,0.0,2669430.0,1284745.0,2880861.0,705571.0,0.0,2072.0,648.0,1123.0,10000.0,0.0,5,13,True,False,False,True,-0.07848075133370909,0.1502084122773778,2026-02-23
4926,2026-02-21 14:00:00-05:00,0.05,0.01,0.94,0.01,0.0,0.06,0.02,0.94,0.01,0.0,0.04,0.01,0.94,0.01,0.0,0.0407,0.0134,0.94,0.01,0.0,0.04,0.02,0.94,0.01,0.0,2663499.0,1284770.0,2880776.0,705571.0,0.0,6677.0,742.0,85.0,93.0,0.0,5,14,True,False,False,True,-0.07831904978138661,-0.2401167031363968,2026-02-23
